,0
0,-83.907
1,-83.837
2,-83.867
3,-83.886
4,-83.799
5,-83.948
6,-83.807
7,-83.794
8,-83.972
9,-83.814
10,-83.809
11,-83.921
12,-83.851
13,-83.872
14,-83.872
15,-83.775
16,-83.854
17,-83.846
18,-83.751
19,-83.807
20,-83.881
21,-83.868
22,-83.923
23,-83.795
24,-83.805
25,-83.907
26,-83.805
27,-83.901
28,-83.839
29,-83.748
30,-83.901
31,-83.84
32,-83.854
33,-83.953
34,-83.859
35,-83.838
36,-83.94
37,-83.857
38,-83.907
39,-83.746
40,-83.698
41,-83.803
42,-83.814
43,-83.73
44,-83.878
45,-83.786
46,-83.781
47,-83.89
48,-83.809
49,-83.824
50,-83.962
51,-83.852
52,-83.872
53,-83.853
54,-83.739
55,-83.749
56,-83.859
57,-83.84
58,-83.844
59,-83.824
60,-83.862
61,-83.939
62,-83.847
63,-83.895
64,-83.838
65,-83.757
66,-83.782
67,-83.807
68,-83.666
69,-83.814
70,-83.648
71,-83.66
72,-83.968
73,-83.785
74,-83.773
75,-83.878
76,-83.784
77,-83.786
78,-83.889
79,-83.803
80,-83.926
81,-83.855
82,-83.822
83,-83.955
84,-83.719
85,-83.72
86,-83.861
87,-83.82
88,-83.794
89,-83.845
90,-83.721
91,-83.784
92,-83.803
93,-83.795
94,-83.832
95,-83.816
96,-83.807
97,-83.87
98,-83.721
99,-83.767
100,-83.882
101,-83.755
102,-83.793
103,-83.845
104,-83.776
105,-83.842
106,-83.744
107,-83.698
108,-83.803
109,-83.754
110,-83.72
111,-83.87
112,-83.756
113,-83.733
114,-83.806
115,-83.767
116,-83.825
117,-83.701
118,-83.69
119,-83.782
120,-83.848
121,-83.832
122,-83.837
123,-83.825
124,-83.859
125,-83.895
126,-83.753
127,-83.8
128,-83.871
129,-83.722
130,-83.753
131,-83.743
132,-83.705
133,-83.876
134,-83.691
135,-83.669
136,-83.826
137,-83.72
138,-83.695
139,-83.718
140,-83.665
141,-83.712
142,-83.734
143,-83.696
144,-83.781
145,-83.775
146,-83.771
147,-83.799
148,-83.728
149,-83.731
150,-83.868
151,-83.75
152,-83.795
153,-83.784
154,-83.653
155,-83.669
156,-83.689
157,-83.6
158,-83.752
159,-83.701
160,-83.705
161,-83.732
162,-83.642
163,-83.689
164,-83.857
165,-83.714
166,-83.712
167,-83.679
168,-83.697
169,-83.79
170,-83.728
171,-83.705
172,-83.857
173,-83.784
174,-83.73
175,-83.728
176,-83.718
177,-83.717
178,-83.743
179,-83.706
180,-83.755
181,-83.686
182,-83.701
183,-83.748
184,-83.649
185,-83.631
186,-83.784
187,-83.808
188,-83.858
189,-83.715
190,-83.687
191,-83.813
192,-83.768
193,-83.667
194,-83.691
195,-83.629
196,-83.602
197,-83.787
198,-83.706
199,-83.704
200,-83.841
201,-83.723
202,-83.746
203,-83.742
204,-83.651
205,-83.674
206,-83.762
207,-83.734
208,-83.718
209,-83.633
210,-83.641
211,-83.758
212,-83.685
213,-83.686
214,-83.747
215,-83.635
216,-83.714
217,-83.688
218,-83.638
219,-83.778
220,-83.669
221,-83.607
222,-83.763
223,-83.564
224,-83.593
225,-83.739
226,-83.611
227,-83.648
228,-83.679
229,-83.66
230,-83.779
231,-83.686
232,-83.68
233,-83.788
234,-83.697
235,-83.706
236,-83.736
237,-83.699
238,-83.737
239,-83.68
240,-83.652
241,-83.643
242,-83.614
243,-83.561
244,-83.734
245,-83.603
246,-83.602
247,-83.791
248,-83.597
249,-83.622
250,-83.752
251,-83.515
252,-83.618
253,-83.73
254,-83.582
255,-83.59
256,-83.571
257,-83.6
258,-83.663
259,-83.575
260,-83.564
261,-83.688
262,-83.666
263,-83.643
264,-83.685
265,-83.599
266,-83.65
267,-83.626
268,-83.569
269,-83.714
270,-83.601
271,-83.589
272,-83.711
273,-83.598
274,-83.588
275,-83.649
276,-83.551
277,-83.668
278,-83.7
279,-83.634
280,-83.729
281,-83.599
282,-83.538
283,-83.647
284,-83.504
285,-83.473
286,-83.72
287,-83.528
288,-83.532
289,-83.778
290,-83.585
291,-83.643
292,-83.664
293,-83.525
294,-83.565
295,-83.664
296,-83.661
297,-83.727
298,-83.564
299,-83.575
300,-83.699
301,-83.657
302,-83.703
303,-83.639
304,-83.559
305,-83.657
306,-83.602
307,-83.611
308,-83.642
309,-83.647
310,-83.619
311,-83.649
312,-83.519
313,-83.563
314,-83.655
315,-83.592
316,-83.586
317,-83.558
318,-83.477
319,-83.566
320,-83.618
321,-83.566
322,-83.715
323,-83.63
324,-83.645
325,-83.658
326,-83.569
327,-83.623
328,-83.59
329,-83.492
330,-83.615
331,-83.588
332,-83.596
333,-83.726
334,-83.556
335,-83.553
336,-83.653
337,-83.572
338,-83.605
339,-83.689
340,-83.665
341,-83.657
342,-83.599
343,-83.47
344,-83.62
345,-83.566
346,-83.561
347,-83.721
348,-83.717
349,-83.744
350,-83.774
351,-83.645
352,-83.661
353,-83.618
354,-83.41
355,-83.45
356,-83.567
357,-83.519
358,-83.626
359,-83.625
360,-83.549
361,-83.65
362,-83.603
363,-83.613
364,-83.608
365,-83.532
366,-83.581
367,-83.617
368,-83.538
369,-83.632
370,-83.597
371,-83.595
372,-83.769
373,-83.549
374,-83.546
375,-83.645
376,-83.575
377,-83.668
378,-83.723
379,-83.653
380,-83.697
381,-83.644
382,-83.552
383,-83.682
384,-83.55
385,-83.481
386,-83.696
387,-83.651
388,-83.687
389,-83.673
390,-83.604
391,-83.623
392,-83.639
393,-83.61
394,-83.662
395,-83.633
396,-83.578
397,-83.677
398,-83.573
399,-83.597
400,-83.679
401,-83.508
402,-83.576
403,-83.684
404,-83.595
405,-83.62
406,-83.609
407,-83.609
408,-83.749
409,-83.574
410,-83.562
411,-83.804
412,-83.722
413,-83.685
414,-83.686
415,-83.602
416,-83.671
417,-83.66
418,-83.598
