RAW:Pc,RAW:Pc + m,RAW:Ph,RAW:Ph + m,RAW:Pc',dMeasure,drMeasure,Pc,PcPlusM,HpPlusM,Ph,Yvalue
-82.976,-82.878,-82.854,-82.933,-82.837,0.1389999999999958,0.9983248168145006,-82.976,-82.84325,-82.78450000000001,-82.82875000000001,0.9982253904743542
-82.846,-82.987,-82.835,-82.871,-82.909,-0.06300000000000239,1.0007604470946092,-82.846,-83.00274999999999,-82.8665,-82.91825,1.0008721000410399
-82.86,-82.78,-82.91,-82.767,-82.875,-0.015000000000000568,1.0001810282404056,-82.86,-82.78375,-82.91749999999999,-82.77825,0.99901339608979
-82.915,-82.783,-82.83,-82.839,-82.804,0.1110000000000042,0.998661279623711,-82.915,-82.75525,-82.77449999999999,-82.75574999999999,0.9980793583790627
-82.851,-82.889,-82.858,-82.896,-82.852,-0.0010000000000047748,1.0000120698603518,-82.851,-82.88925,-82.8585,-82.89675,1.000552196111091
-82.862,-82.841,-82.896,-82.849,-82.834,0.027999999999991587,0.9996620887741064,-82.862,-82.834,-82.882,-82.828,0.9995896792257006
-82.829,-82.966,-82.876,-82.911,-82.883,-0.054000000000002046,1.0006519455746177,-82.829,-82.9795,-82.903,-82.95150000000001,1.0014789506090864
-82.821,-82.81,-82.942,-82.828,-82.888,-0.06700000000000728,1.0008089735695054,-82.821,-82.82675,-82.9755,-82.87825000000001,1.0006912498037939
-82.861,-82.786,-82.891,-82.831,-82.8,0.06100000000000705,0.9992638273735532,-82.861,-82.77074999999999,-82.8605,-82.78524999999999,0.9990858184187976
-82.822,-82.875,-82.822,-82.936,-82.88,-0.057999999999992724,1.00070029702253,-82.822,-82.8895,-82.851,-82.9795,1.0019016686387674
-82.75,-82.893,-82.916,-82.831,-82.795,-0.045000000000001705,1.0005438066465258,-82.75,-82.90425,-82.9385,-82.86475,1.0013867069486404
