RAW:Pc,RAW:Pc + m,RAW:Ph,RAW:Ph + m,RAW:Pc',dMeasure,drMeasure,Pc,PcPlusM,PhPlusM,Ph,Yvalue
-82806,-82746,-82844,-82858,-82828,-2.6481271495716415e-14,0.9949471217509919,5.240829125640294e-12,5.307116003313175e-12,5.181932194362819e-12,5.158591582378451e-12,0.9843082952543706
-82914,-82722,-82748,-82.94,-82771,1.7112810649257578e-13,1.0334750585252064,5.11210776117741e-12,5.385964427496626e-12,5.39685387179641e-12,5.209940505475031e-12,1.0191374573596799
-82878,-82829,-82872,-82888,-82708,2.0577487032905389e-13,1.0399201658290622,5.154659707832382e-12,5.264591061982077e-12,5.264673490131249e-12,5.297135472234709e-12,1.0276401881943513
-82948,-82832,-82774,-82936,-82799,1.770407565403053e-13,1.03490384382611,5.07224239892653e-12,5.253807662420641e-12,5.3681079761074776e-12,5.21905747046958e-12,1.028944805866163
-82.8,-82822,-82797,-82791,-82802,-2.4162712596215202e-15,0.9995395890030848,5.248074602497734e-12,5.2209526526746956e-12,5.2504929607743206e-12,5.257149400379896e-12,1.0017291670887916
-82813,-82963,-82869,-82.72,-82718,1.1571720962399342e-13,1.0221155606000705,5.232388711124278e-12,5.083683016003998e-12,5.2232115270762354e-12,5.432431501187709e-12,1.038231637805909
-82875,-82776,-82809,-82806,-82857,2.1423405327267376e-14,1.004153254120878,5.158221650723061e-12,5.282512668979941e-12,5.247921841895578e-12,5.256896679635745e-12,1.0191296604904234
-82722,-82753,-82785,-82.74,-82825,-1.2523135848346726e-13,0.9765624024994927,5.343182400873482e-12,5.273870649188111e-12,5.203616469697249e-12,5.2271590738053525e-12,0.9782857259282104
-82754,-82819,-82865,-82738,-82815,-7.397740512378024e-14,0.9860524125308606,5.303957066945344e-12,5.206670538882874e-12,5.1331238771246575e-12,5.2680505522397844e-12,0.9932302403182464
-82819,-82836,-82.9,-82844,-82864,-5.386171099419455e-14,0.9896918638691026,5.225164890163819e-12,5.1912860839566765e-12,5.10168298441654e-12,5.1547765468650315e-12,0.9865289718547847
-82785,-82845,-82862,-82855,-82799,-1.694899347214675e-14,0.9967815711512905,5.266232148938982e-12,5.189739486702045e-12,5.165210703994545e-12,5.169319174968152e-12,0.9815972841245983
-82876,-82887,-82897,-82941,-82767,1.3107008628661875e-13,1.0254157883552353,5.1570340630264445e-12,5.176756151859381e-12,5.197692827883869e-12,5.178727044663403e-12,1.0042064840704634
-82927,-82806,-82728,-82.91,-82881,5.427196554079616e-14,1.0106481840827939,5.096828259054277e-12,5.254397117025493e-12,5.362941601230731e-12,5.15752232955867e-12,1.01190820396912
-82.84,-82904,-82799,-82816,-82784,6.748491798389367e-14,1.0129779687601006,5.1999599653351514e-12,5.140763616142769e-12,5.283025614458782e-12,5.279389241622324e-12,1.0152749784261181
-82842,-82853,-82858,-82854,-82791,6.139575724099902e-14,1.01181240585559,5.197565846583613e-12,5.199766822388485e-12,5.209150414620738e-12,5.229271082101374e-12,1.0061000161332445
-82792,-82772,-82781,-82725,-82803,-1.3300209747421686e-14,0.9974703613396178,5.2577508225669496e-12,5.278694445263108e-12,5.264434657490244e-12,5.329517578431212e-12,1.013649706554413
-82768,-82873,-82839,-82.69,-82741,3.297085066183708e-14,1.006236345280596,5.286886658508813e-12,5.168840359295663e-12,5.217642863554993e-12,5.407425963159259e-12,1.0227996763381426
